event_type,timestamp,epoch_sec,match_id,data1,data2,data3,data4,data5,data6
SPEED,2025-11-29 17:01:25.603,1764446485,2,277.31,-250.00,-120.00,,,
GOAL,2025-11-29 17:01:25.947,1764446485,2,1,Blue,1,0.34,0.34,
GOAL,2025-11-29 17:01:27.504,1764446487,2,0,Red,1,1.56,1.90,
SPEED,2025-11-29 17:01:27.619,1764446487,2,294.20,-265.23,127.31,,,
GOAL,2025-11-29 17:01:29.027,1764446489,2,1,Blue,2,1.52,3.42,
SPEED,2025-11-29 17:01:29.633,1764446489,2,303.02,273.18,131.13,,,
GOAL,2025-11-29 17:01:30.501,1764446490,2,0,Red,2,1.47,4.90,
SPEED,2025-11-29 17:01:31.645,1764446491,2,312.11,-281.38,-135.06,,,
SPEED,2025-11-29 17:01:33.660,1764446493,2,316.07,295.45,112.30,,,
GOAL,2025-11-29 17:01:34.168,1764446494,2,0,Red,3,3.67,8.57,
GOAL,2025-11-29 17:01:38.048,1764446498,2,1,Blue,3,1.39,9.96,
SPEED,2025-11-29 17:01:38.163,1764446498,2,331.12,298.51,143.29,,,
GOAL,2025-11-29 17:01:39.391,1764446499,2,0,Red,4,1.34,11.30,
SPEED,2025-11-29 17:01:40.177,1764446500,2,341.05,-307.47,147.58,,,
GOAL,2025-11-29 17:01:40.702,1764446500,2,1,Blue,4,1.31,12.61,
GOAL,2025-11-29 17:01:41.979,1764446501,2,0,Red,5,1.28,13.89,
SPEED,2025-11-29 17:01:42.191,1764446502,2,361.82,-326.19,-156.57,,,
