thread=138835239364288; worker=1; libro=5; palabras=25603; inicio=2025-11-29 15:44:51.219; fin=2025-11-29 15:44:51.340
thread=138835247756992; worker=0; libro=1; palabras=99958; inicio=2025-11-29 15:44:51.218; fin=2025-11-29 15:44:51.599
thread=138835230971584; worker=2; libro=2; palabras=103490; inicio=2025-11-29 15:44:51.218; fin=2025-11-29 15:44:51.616
thread=138835222578880; worker=3; libro=3; palabras=203029; inicio=2025-11-29 15:44:51.218; fin=2025-11-29 15:44:51.782
thread=138835214186176; worker=4; libro=4; palabras=992331; inicio=2025-11-29 15:44:51.218; fin=2025-11-29 15:44:52.226
thread=138835222578880; worker=1; libro=7; palabras=47314; inicio=2025-11-29 15:44:52.227; fin=2025-11-29 15:44:52.610
thread=138835239364288; worker=3; libro=9; palabras=70204; inicio=2025-11-29 15:44:52.227; fin=2025-11-29 15:44:52.711
thread=138835214186176; worker=0; libro=6; palabras=92187; inicio=2025-11-29 15:44:52.227; fin=2025-11-29 15:44:52.826
thread=138835230971584; worker=2; libro=8; palabras=211713; inicio=2025-11-29 15:44:52.227; fin=2025-11-29 15:44:53.068
thread=138835247756992; worker=4; libro=10; palabras=286240; inicio=2025-11-29 15:44:52.227; fin=2025-11-29 15:44:53.129
thread=138835214186176; worker=4; libro=15; palabras=31487; inicio=2025-11-29 15:44:53.129; fin=2025-11-29 15:44:53.457
thread=138835239364288; worker=1; libro=12; palabras=117350; inicio=2025-11-29 15:44:53.129; fin=2025-11-29 15:44:53.832
thread=138835247756992; worker=0; libro=11; palabras=134493; inicio=2025-11-29 15:44:53.129; fin=2025-11-29 15:44:53.846
thread=138835222578880; worker=3; libro=14; palabras=166806; inicio=2025-11-29 15:44:53.129; fin=2025-11-29 15:44:53.958
thread=138835230971584; worker=2; libro=13; palabras=194382; inicio=2025-11-29 15:44:53.129; fin=2025-11-29 15:44:54.000
thread=138835239364288; worker=3; libro=19; palabras=30011; inicio=2025-11-29 15:44:54.000; fin=2025-11-29 15:44:54.377
thread=138835222578880; worker=1; libro=16; palabras=141049; inicio=2025-11-29 15:44:54.000; fin=2025-11-29 15:44:54.527
thread=138835214186176; worker=0; libro=17; palabras=141645; inicio=2025-11-29 15:44:54.000; fin=2025-11-29 15:44:54.831
thread=138835230971584; worker=2; libro=18; palabras=145111; inicio=2025-11-29 15:44:54.000; fin=2025-11-29 15:44:54.929
thread=138835247756992; worker=4; libro=20; palabras=185839; inicio=2025-11-29 15:44:54.000; fin=2025-11-29 15:44:54.942
thread=138835239364288; worker=1; libro=22; palabras=33889; inicio=2025-11-29 15:44:54.942; fin=2025-11-29 15:44:55.214
thread=138835214186176; worker=4; libro=25; palabras=71581; inicio=2025-11-29 15:44:54.942; fin=2025-11-29 15:44:55.353
thread=138835247756992; worker=0; libro=21; palabras=60293; inicio=2025-11-29 15:44:54.942; fin=2025-11-29 15:44:55.360
thread=138835230971584; worker=2; libro=23; palabras=71710; inicio=2025-11-29 15:44:54.942; fin=2025-11-29 15:44:55.463
thread=138835222578880; worker=3; libro=24; palabras=327002; inicio=2025-11-29 15:44:54.942; fin=2025-11-29 15:44:55.595
thread=138835239364288; worker=3; libro=29; palabras=81316; inicio=2025-11-29 15:44:55.595; fin=2025-11-29 15:44:58.517
thread=138835230971584; worker=2; libro=28; palabras=131867; inicio=2025-11-29 15:44:55.595; fin=2025-11-29 15:44:58.864
thread=138835222578880; worker=1; libro=27; palabras=117284; inicio=2025-11-29 15:44:55.595; fin=2025-11-29 15:44:58.907
thread=138835214186176; worker=0; libro=26; palabras=185498; inicio=2025-11-29 15:44:55.595; fin=2025-11-29 15:44:59.123
thread=138835247756992; worker=4; libro=30; palabras=395203; inicio=2025-11-29 15:44:55.595; fin=2025-11-29 15:44:59.174
thread=138835214186176; worker=4; libro=35; palabras=86640; inicio=2025-11-29 15:44:59.174; fin=2025-11-29 15:44:59.701
thread=138835230971584; worker=2; libro=34; palabras=80943; inicio=2025-11-29 15:44:59.174; fin=2025-11-29 15:44:59.895
thread=138835239364288; worker=1; libro=32; palabras=80980; inicio=2025-11-29 15:44:59.174; fin=2025-11-29 15:44:59.973
thread=138835222578880; worker=3; libro=33; palabras=115042; inicio=2025-11-29 15:44:59.174; fin=2025-11-29 15:45:00.003
thread=138835247756992; worker=0; libro=31; palabras=304376; inicio=2025-11-29 15:44:59.174; fin=2025-11-29 15:45:00.093
thread=138835222578880; worker=1; libro=37; palabras=25776; inicio=2025-11-29 15:45:00.093; fin=2025-11-29 15:45:00.293
thread=138835239364288; worker=3; libro=39; palabras=49690; inicio=2025-11-29 15:45:00.093; fin=2025-11-29 15:45:00.481
thread=138835247756992; worker=4; libro=40; palabras=92854; inicio=2025-11-29 15:45:00.093; fin=2025-11-29 15:45:00.563
thread=138835214186176; worker=0; libro=36; palabras=111843; inicio=2025-11-29 15:45:00.093; fin=2025-11-29 15:45:00.745
thread=138835230971584; worker=2; libro=38; palabras=413440; inicio=2025-11-29 15:45:00.093; fin=2025-11-29 15:45:00.922
thread=138835247756992; worker=0; libro=41; palabras=37765; inicio=2025-11-29 15:45:00.923; fin=2025-11-29 15:45:01.290
thread=138835230971584; worker=2; libro=44; palabras=109138; inicio=2025-11-29 15:45:00.923; fin=2025-11-29 15:45:01.856
thread=138835222578880; worker=3; libro=45; palabras=173576; inicio=2025-11-29 15:45:00.923; fin=2025-11-29 15:45:01.890
thread=138835214186176; worker=4; libro=43; palabras=144239; inicio=2025-11-29 15:45:00.923; fin=2025-11-29 15:45:01.942
