thread=123595483223744; worker=6; libro=7; palabras=31487; inicio=2025-11-30 12:34:33.729; fin=2025-11-30 12:34:33.807
thread=123595525187264; worker=1; libro=2; palabras=47314; inicio=2025-11-30 12:34:33.729; fin=2025-11-30 12:34:33.838
thread=123595533579968; worker=0; libro=1; palabras=71710; inicio=2025-11-30 12:34:33.728; fin=2025-11-30 12:34:33.885
thread=123595508401856; worker=3; libro=4; palabras=71581; inicio=2025-11-30 12:34:33.729; fin=2025-11-30 12:34:33.900
thread=123595500009152; worker=4; libro=5; palabras=81316; inicio=2025-11-30 12:34:33.729; fin=2025-11-30 12:34:33.918
thread=123595491616448; worker=5; libro=6; palabras=115042; inicio=2025-11-30 12:34:33.729; fin=2025-11-30 12:34:33.941
thread=123595516794560; worker=2; libro=3; palabras=141645; inicio=2025-11-30 12:34:33.729; fin=2025-11-30 12:34:33.991
thread=123595491616448; worker=1; libro=9; palabras=33889; inicio=2025-11-30 12:34:33.994; fin=2025-11-30 12:34:34.072
thread=123595525187264; worker=5; libro=13; palabras=37765; inicio=2025-11-30 12:34:33.995; fin=2025-11-30 12:34:34.082
thread=123595516794560; worker=6; libro=14; palabras=78560; inicio=2025-11-30 12:34:33.995; fin=2025-11-30 12:34:34.157
thread=123595533579968; worker=4; libro=12; palabras=80943; inicio=2025-11-30 12:34:33.995; fin=2025-11-30 12:34:34.178
thread=123595508401856; worker=3; libro=11; palabras=166806; inicio=2025-11-30 12:34:33.994; fin=2025-11-30 12:34:34.283
thread=123595483223744; worker=0; libro=8; palabras=212180; inicio=2025-11-30 12:34:33.994; fin=2025-11-30 12:34:34.352
thread=123595500009152; worker=2; libro=10; palabras=413440; inicio=2025-11-30 12:34:33.994; fin=2025-11-30 12:34:34.685
thread=123595525187264; worker=1; libro=16; palabras=49690; inicio=2025-11-30 12:34:34.691; fin=2025-11-30 12:34:34.795
thread=123595516794560; worker=0; libro=15; palabras=99958; inicio=2025-11-30 12:34:34.691; fin=2025-11-30 12:34:34.899
thread=123595533579968; worker=2; libro=17; palabras=126207; inicio=2025-11-30 12:34:34.691; fin=2025-11-30 12:34:35.001
thread=123595508401856; worker=3; libro=18; palabras=144239; inicio=2025-11-30 12:34:34.691; fin=2025-11-30 12:34:35.029
thread=123595491616448; worker=5; libro=20; palabras=185498; inicio=2025-11-30 12:34:34.691; fin=2025-11-30 12:34:35.048
thread=123595483223744; worker=6; libro=21; palabras=194382; inicio=2025-11-30 12:34:34.691; fin=2025-11-30 12:34:35.069
thread=123595500009152; worker=4; libro=19; palabras=211713; inicio=2025-11-30 12:34:34.691; fin=2025-11-30 12:34:35.095
thread=123595491616448; worker=1; libro=23; palabras=25603; inicio=2025-11-30 12:34:35.100; fin=2025-11-30 12:34:35.165
thread=123595516794560; worker=6; libro=28; palabras=92854; inicio=2025-11-30 12:34:35.100; fin=2025-11-30 12:34:35.314
thread=123595525187264; worker=5; libro=27; palabras=131867; inicio=2025-11-30 12:34:35.100; fin=2025-11-30 12:34:35.374
