event_type,timestamp,epoch_sec,match_id,data1,data2,data3,data4,data5,data6
SPEED,2025-11-29 16:54:59.380,1764446099,1,332.77,-300.00,-144.00,,,
GOAL,2025-11-29 16:55:00.670,1764446100,1,1,Blue,1,1.29,1.29,
SPEED,2025-11-29 16:55:01.389,1764446101,1,342.75,309.00,148.32,,,
GOAL,2025-11-29 16:55:01.976,1764446101,1,0,Red,1,1.31,2.60,
GOAL,2025-11-29 16:55:03.234,1764446103,1,1,Blue,2,1.26,3.85,
SPEED,2025-11-29 16:55:03.398,1764446103,1,363.63,327.82,157.35,,,
GOAL,2025-11-29 16:55:04.461,1764446104,1,0,Red,2,1.23,5.08,
SPEED,2025-11-29 16:55:05.412,1764446105,1,374.54,-337.65,162.07,,,
GOAL,2025-11-29 16:55:05.657,1764446105,1,1,Blue,3,1.20,6.28,
GOAL,2025-11-29 16:55:06.819,1764446106,1,0,Red,3,1.16,7.44,
SPEED,2025-11-29 16:55:07.425,1764446107,1,397.34,-358.22,-171.94,,,
GOAL,2025-11-29 16:55:07.950,1764446107,1,1,Blue,4,1.13,8.57,
GOAL,2025-11-29 16:55:09.045,1764446109,1,0,Red,4,1.10,9.67,
SPEED,2025-11-29 16:55:09.438,1764446109,1,421.54,-380.03,182.41,,,
GOAL,2025-11-29 16:55:10.109,1764446110,1,1,Blue,5,1.06,10.73,
GOAL,2025-11-29 16:55:11.140,1764446111,1,0,Red,5,1.03,11.76,
SPEED,2025-11-29 16:55:11.452,1764446111,1,447.22,-403.17,193.52,,,
GOAL,2025-11-29 16:55:12.140,1764446112,1,1,Blue,6,1.00,12.76,
GOAL,2025-11-29 16:55:15.923,1764446115,1,0,Red,6,0.97,13.73,
SPEED,2025-11-29 16:55:16.284,1764446116,1,474.45,-427.73,-205.31,,,
GOAL,2025-11-29 16:55:16.874,1764446116,1,1,Blue,7,0.95,14.68,
GOAL,2025-11-29 16:55:17.792,1764446117,1,0,Red,7,0.92,15.59,
SPEED,2025-11-29 16:55:18.298,1764446118,1,503.34,-453.78,217.81,,,
GOAL,2025-11-29 16:55:18.674,1764446118,1,1,Blue,8,0.88,16.48,
GOAL,2025-11-29 16:55:19.542,1764446119,1,0,Red,8,0.87,17.35,
SPEED,2025-11-29 16:55:20.313,1764446120,1,534.00,-481.41,231.08,,,
GOAL,2025-11-29 16:55:20.379,1764446120,1,1,Blue,9,0.84,18.18,
GOAL,2025-11-29 16:55:21.199,1764446121,1,0,Red,9,0.82,19.00,
GOAL,2025-11-29 16:55:21.984,1764446121,1,1,Blue,10,0.79,19.79,
MATCH,2025-11-29 16:55:21.984,1764446121,1,1,Blue,19.79,9,10,
