thread=132729540695744; worker=3; libro=5; palabras=25603; inicio=2025-11-29 16:24:41.220; fin=2025-11-29 16:24:41.233
thread=132729549088448; worker=1; libro=2; palabras=103490; inicio=2025-11-29 16:24:41.220; fin=2025-11-29 16:24:41.274
thread=132729557481152; worker=0; libro=1; palabras=99958; inicio=2025-11-29 16:24:41.220; fin=2025-11-29 16:24:41.281
thread=132729454720704; worker=2; libro=3; palabras=203029; inicio=2025-11-29 16:24:41.220; fin=2025-11-29 16:24:41.306
thread=132729532303040; worker=4; libro=4; palabras=992331; inicio=2025-11-29 16:24:41.220; fin=2025-11-29 16:24:41.641
thread=132729540695744; worker=1; libro=7; palabras=47314; inicio=2025-11-29 16:24:41.642; fin=2025-11-29 16:24:41.665
thread=132729454720704; worker=2; libro=9; palabras=70204; inicio=2025-11-29 16:24:41.643; fin=2025-11-29 16:24:41.679
thread=132729532303040; worker=0; libro=6; palabras=92187; inicio=2025-11-29 16:24:41.642; fin=2025-11-29 16:24:41.689
thread=132729549088448; worker=3; libro=8; palabras=211713; inicio=2025-11-29 16:24:41.642; fin=2025-11-29 16:24:41.738
thread=132729557481152; worker=4; libro=10; palabras=286240; inicio=2025-11-29 16:24:41.643; fin=2025-11-29 16:24:41.783
thread=132729532303040; worker=4; libro=15; palabras=31487; inicio=2025-11-29 16:24:41.785; fin=2025-11-29 16:24:41.802
thread=132729540695744; worker=3; libro=12; palabras=117350; inicio=2025-11-29 16:24:41.785; fin=2025-11-29 16:24:41.842
thread=132729549088448; worker=1; libro=11; palabras=134493; inicio=2025-11-29 16:24:41.785; fin=2025-11-29 16:24:41.849
thread=132729454720704; worker=2; libro=14; palabras=166806; inicio=2025-11-29 16:24:41.785; fin=2025-11-29 16:24:41.855
thread=132729557481152; worker=0; libro=13; palabras=194382; inicio=2025-11-29 16:24:41.785; fin=2025-11-29 16:24:41.867
thread=132729549088448; worker=3; libro=19; palabras=30011; inicio=2025-11-29 16:24:41.868; fin=2025-11-29 16:24:41.883
thread=132729532303040; worker=0; libro=16; palabras=141049; inicio=2025-11-29 16:24:41.867; fin=2025-11-29 16:24:41.930
thread=132729540695744; worker=1; libro=17; palabras=141645; inicio=2025-11-29 16:24:41.868; fin=2025-11-29 16:24:41.937
thread=132729454720704; worker=2; libro=18; palabras=145111; inicio=2025-11-29 16:24:41.868; fin=2025-11-29 16:24:41.943
thread=132729557481152; worker=4; libro=20; palabras=185839; inicio=2025-11-29 16:24:41.868; fin=2025-11-29 16:24:41.952
thread=132729557481152; worker=0; libro=22; palabras=33889; inicio=2025-11-29 16:24:41.954; fin=2025-11-29 16:24:41.972
thread=132729540695744; worker=3; libro=21; palabras=60293; inicio=2025-11-29 16:24:41.954; fin=2025-11-29 16:24:41.983
thread=132729549088448; worker=1; libro=23; palabras=71710; inicio=2025-11-29 16:24:41.954; fin=2025-11-29 16:24:41.989
thread=132729532303040; worker=4; libro=25; palabras=71581; inicio=2025-11-29 16:24:41.954; fin=2025-11-29 16:24:41.996
thread=132729454720704; worker=2; libro=24; palabras=327002; inicio=2025-11-29 16:24:41.954; fin=2025-11-29 16:24:42.091
thread=132729454720704; worker=2; libro=29; palabras=81316; inicio=2025-11-29 16:24:42.092; fin=2025-11-29 16:24:42.137
thread=132729549088448; worker=3; libro=27; palabras=117284; inicio=2025-11-29 16:24:42.092; fin=2025-11-29 16:24:42.146
thread=132729532303040; worker=0; libro=28; palabras=131867; inicio=2025-11-29 16:24:42.092; fin=2025-11-29 16:24:42.153
thread=132729540695744; worker=1; libro=26; palabras=185498; inicio=2025-11-29 16:24:42.092; fin=2025-11-29 16:24:42.172
thread=132729557481152; worker=4; libro=30; palabras=395203; inicio=2025-11-29 16:24:42.092; fin=2025-11-29 16:24:42.273
thread=132729454720704; worker=2; libro=32; palabras=80980; inicio=2025-11-29 16:24:42.275; fin=2025-11-29 16:24:42.312
thread=132729532303040; worker=4; libro=34; palabras=80943; inicio=2025-11-29 16:24:42.275; fin=2025-11-29 16:24:42.321
thread=132729549088448; worker=1; libro=35; palabras=86640; inicio=2025-11-29 16:24:42.275; fin=2025-11-29 16:24:42.327
thread=132729540695744; worker=3; libro=33; palabras=115042; inicio=2025-11-29 16:24:42.275; fin=2025-11-29 16:24:42.332
thread=132729557481152; worker=0; libro=31; palabras=304376; inicio=2025-11-29 16:24:42.275; fin=2025-11-29 16:24:42.403
thread=132729454720704; worker=2; libro=37; palabras=25776; inicio=2025-11-29 16:24:42.404; fin=2025-11-29 16:24:42.421
thread=132729549088448; worker=3; libro=39; palabras=49690; inicio=2025-11-29 16:24:42.408; fin=2025-11-29 16:24:42.433
thread=132729557481152; worker=4; libro=40; palabras=92854; inicio=2025-11-29 16:24:42.409; fin=2025-11-29 16:24:42.455
thread=132729532303040; worker=0; libro=36; palabras=111843; inicio=2025-11-29 16:24:42.404; fin=2025-11-29 16:24:42.463
thread=132729540695744; worker=1; libro=38; palabras=413440; inicio=2025-11-29 16:24:42.404; fin=2025-11-29 16:24:42.586
