thread=129141416388288; worker=1; libro=1; palabras=99958; inicio=2025-11-29 16:34:38.871; fin=2025-11-29 16:34:38.923
thread=129141424780992; worker=0; libro=2; palabras=103490; inicio=2025-11-29 16:34:38.871; fin=2025-11-29 16:34:38.930
thread=129141407995584; worker=2; libro=3; palabras=203029; inicio=2025-11-29 16:34:38.871; fin=2025-11-29 16:34:38.958
thread=129141277980352; worker=3; libro=4; palabras=992331; inicio=2025-11-29 16:34:38.871; fin=2025-11-29 16:34:39.305
thread=129141407995584; worker=1; libro=5; palabras=25603; inicio=2025-11-29 16:34:39.308; fin=2025-11-29 16:34:39.322
thread=129141416388288; worker=2; libro=7; palabras=47314; inicio=2025-11-29 16:34:39.308; fin=2025-11-29 16:34:39.331
thread=129141277980352; worker=0; libro=6; palabras=92187; inicio=2025-11-29 16:34:39.308; fin=2025-11-29 16:34:39.354
thread=129141424780992; worker=3; libro=8; palabras=211713; inicio=2025-11-29 16:34:39.309; fin=2025-11-29 16:34:39.399
thread=129141424780992; worker=0; libro=9; palabras=70204; inicio=2025-11-29 16:34:39.400; fin=2025-11-29 16:34:39.438
thread=129141407995584; worker=2; libro=12; palabras=117350; inicio=2025-11-29 16:34:39.400; fin=2025-11-29 16:34:39.455
thread=129141416388288; worker=1; libro=11; palabras=134493; inicio=2025-11-29 16:34:39.400; fin=2025-11-29 16:34:39.463
thread=129141277980352; worker=3; libro=10; palabras=286240; inicio=2025-11-29 16:34:39.400; fin=2025-11-29 16:34:39.538
thread=129141416388288; worker=2; libro=15; palabras=31487; inicio=2025-11-29 16:34:39.539; fin=2025-11-29 16:34:39.557
thread=129141424780992; worker=3; libro=16; palabras=141049; inicio=2025-11-29 16:34:39.539; fin=2025-11-29 16:34:39.601
thread=129141407995584; worker=1; libro=14; palabras=166806; inicio=2025-11-29 16:34:39.539; fin=2025-11-29 16:34:39.614
thread=129141277980352; worker=0; libro=13; palabras=194382; inicio=2025-11-29 16:34:39.539; fin=2025-11-29 16:34:39.624
thread=129141407995584; worker=2; libro=19; palabras=30011; inicio=2025-11-29 16:34:39.625; fin=2025-11-29 16:34:39.639
thread=129141424780992; worker=0; libro=17; palabras=141645; inicio=2025-11-29 16:34:39.624; fin=2025-11-29 16:34:39.686
thread=129141416388288; worker=1; libro=18; palabras=145111; inicio=2025-11-29 16:34:39.625; fin=2025-11-29 16:34:39.693
thread=129141277980352; worker=3; libro=20; palabras=185839; inicio=2025-11-29 16:34:39.625; fin=2025-11-29 16:34:39.710
thread=129141416388288; worker=2; libro=22; palabras=33889; inicio=2025-11-29 16:34:39.711; fin=2025-11-29 16:34:39.730
thread=129141277980352; worker=0; libro=21; palabras=60293; inicio=2025-11-29 16:34:39.711; fin=2025-11-29 16:34:39.741
thread=129141424780992; worker=3; libro=23; palabras=71710; inicio=2025-11-29 16:34:39.711; fin=2025-11-29 16:34:39.746
thread=129141407995584; worker=1; libro=24; palabras=327002; inicio=2025-11-29 16:34:39.711; fin=2025-11-29 16:34:39.859
thread=129141407995584; worker=2; libro=25; palabras=71581; inicio=2025-11-29 16:34:39.860; fin=2025-11-29 16:34:39.901
thread=129141424780992; worker=0; libro=27; palabras=117284; inicio=2025-11-29 16:34:39.860; fin=2025-11-29 16:34:39.916
thread=129141277980352; worker=3; libro=28; palabras=131867; inicio=2025-11-29 16:34:39.860; fin=2025-11-29 16:34:39.922
thread=129141416388288; worker=1; libro=26; palabras=185498; inicio=2025-11-29 16:34:39.860; fin=2025-11-29 16:34:39.941
thread=129141277980352; worker=0; libro=29; palabras=81316; inicio=2025-11-29 16:34:39.942; fin=2025-11-29 16:34:39.984
thread=129141416388288; worker=2; libro=32; palabras=80980; inicio=2025-11-29 16:34:39.942; fin=2025-11-29 16:34:39.990
thread=129141424780992; worker=3; libro=31; palabras=304376; inicio=2025-11-29 16:34:39.942; fin=2025-11-29 16:34:40.075
thread=129141407995584; worker=1; libro=30; palabras=395203; inicio=2025-11-29 16:34:39.942; fin=2025-11-29 16:34:40.123
thread=129141407995584; worker=2; libro=35; palabras=86640; inicio=2025-11-29 16:34:40.125; fin=2025-11-29 16:34:40.167
thread=129141416388288; worker=1; libro=34; palabras=80943; inicio=2025-11-29 16:34:40.125; fin=2025-11-29 16:34:40.176
thread=129141277980352; worker=3; libro=36; palabras=111843; inicio=2025-11-29 16:34:40.125; fin=2025-11-29 16:34:40.183
thread=129141424780992; worker=0; libro=33; palabras=115042; inicio=2025-11-29 16:34:40.125; fin=2025-11-29 16:34:40.188
thread=129141416388288; worker=2; libro=37; palabras=25776; inicio=2025-11-29 16:34:40.189; fin=2025-11-29 16:34:40.206
thread=129141407995584; worker=1; libro=39; palabras=49690; inicio=2025-11-29 16:34:40.189; fin=2025-11-29 16:34:40.214
thread=129141424780992; worker=3; libro=40; palabras=92854; inicio=2025-11-29 16:34:40.189; fin=2025-11-29 16:34:40.237
thread=129141277980352; worker=0; libro=38; palabras=413440; inicio=2025-11-29 16:34:40.189; fin=2025-11-29 16:34:40.369
thread=129141424780992; worker=0; libro=41; palabras=37765; inicio=2025-11-29 16:34:40.371; fin=2025-11-29 16:34:40.394
thread=129141277980352; worker=3; libro=44; palabras=109138; inicio=2025-11-29 16:34:40.371; fin=2025-11-29 16:34:40.419
thread=129141407995584; worker=2; libro=43; palabras=144239; inicio=2025-11-29 16:34:40.371; fin=2025-11-29 16:34:40.444
thread=129141416388288; worker=1; libro=42; palabras=212180; inicio=2025-11-29 16:34:40.371; fin=2025-11-29 16:34:40.465
thread=129141424780992; worker=3; libro=48; palabras=78560; inicio=2025-11-29 16:34:40.466; fin=2025-11-29 16:34:40.503
thread=129141277980352; worker=0; libro=45; palabras=173576; inicio=2025-11-29 16:34:40.466; fin=2025-11-29 16:34:40.543
thread=129141416388288; worker=2; libro=47; palabras=201999; inicio=2025-11-29 16:34:40.466; fin=2025-11-29 16:34:40.556
thread=129141407995584; worker=1; libro=46; palabras=222581; inicio=2025-11-29 16:34:40.466; fin=2025-11-29 16:34:40.570
thread=129141424780992; worker=0; libro=49; palabras=126207; inicio=2025-11-29 16:34:40.572; fin=2025-11-29 16:34:40.643
