thread=139849025709760; worker=6; libro=7; palabras=31487; inicio=2025-11-30 15:57:58.304; fin=2025-11-30 15:57:58.357
thread=139849273374400; worker=1; libro=2; palabras=47314; inicio=2025-11-30 15:57:58.303; fin=2025-11-30 15:57:58.372
thread=139849281767104; worker=0; libro=1; palabras=71710; inicio=2025-11-30 15:57:58.303; fin=2025-11-30 15:57:58.392
thread=139849256588992; worker=3; libro=4; palabras=71581; inicio=2025-11-30 15:57:58.303; fin=2025-11-30 15:57:58.402
thread=139849248196288; worker=4; libro=5; palabras=81316; inicio=2025-11-30 15:57:58.304; fin=2025-11-30 15:57:58.413
thread=139849034102464; worker=5; libro=6; palabras=115042; inicio=2025-11-30 15:57:58.304; fin=2025-11-30 15:57:58.420
thread=139849264981696; worker=2; libro=3; palabras=141645; inicio=2025-11-30 15:57:58.303; fin=2025-11-30 15:57:58.452
thread=139849248196288; worker=2; libro=9; palabras=33889; inicio=2025-11-30 15:57:58.453; fin=2025-11-30 15:57:58.495
thread=139849273374400; worker=5; libro=13; palabras=37765; inicio=2025-11-30 15:57:58.453; fin=2025-11-30 15:57:58.499
thread=139849264981696; worker=6; libro=14; palabras=78560; inicio=2025-11-30 15:57:58.454; fin=2025-11-30 15:57:58.528
thread=139849281767104; worker=4; libro=12; palabras=80943; inicio=2025-11-30 15:57:58.453; fin=2025-11-30 15:57:58.540
thread=139849256588992; worker=3; libro=11; palabras=166806; inicio=2025-11-30 15:57:58.453; fin=2025-11-30 15:57:58.589
thread=139849025709760; worker=0; libro=8; palabras=212180; inicio=2025-11-30 15:57:58.453; fin=2025-11-30 15:57:58.641
thread=139849034102464; worker=1; libro=10; palabras=413440; inicio=2025-11-30 15:57:58.453; fin=2025-11-30 15:57:58.931
thread=139849264981696; worker=0; libro=16; palabras=49690; inicio=2025-11-30 15:57:58.937; fin=2025-11-30 15:57:59.072
thread=139849273374400; worker=1; libro=15; palabras=99958; inicio=2025-11-30 15:57:58.937; fin=2025-11-30 15:57:59.126
thread=139849256588992; worker=3; libro=17; palabras=126207; inicio=2025-11-30 15:57:58.937; fin=2025-11-30 15:57:59.171
