thread=139655454389952; worker=1; libro=2; palabras=47314; inicio=2025-10-29 13:42:04.766; fin=2025-10-29 13:42:05.086
thread=139655357920960; worker=3; libro=4; palabras=71581; inicio=2025-10-29 13:42:04.768; fin=2025-10-29 13:42:05.135
thread=139655462782656; worker=0; libro=1; palabras=71710; inicio=2025-10-29 13:42:04.768; fin=2025-10-29 13:42:05.219
thread=139655445997248; worker=2; libro=3; palabras=141645; inicio=2025-10-29 13:42:04.768; fin=2025-10-29 13:42:05.263
thread=139655462782656; worker=3; libro=7; palabras=31487; inicio=2025-10-29 13:42:05.263; fin=2025-10-29 13:42:05.553
thread=139655357920960; worker=0; libro=5; palabras=81316; inicio=2025-10-29 13:42:05.263; fin=2025-10-29 13:42:05.749
thread=139655445997248; worker=1; libro=6; palabras=115042; inicio=2025-10-29 13:42:05.263; fin=2025-10-29 13:42:05.872
thread=139655454389952; worker=2; libro=8; palabras=212180; inicio=2025-10-29 13:42:05.263; fin=2025-10-29 13:42:05.964
thread=139655462782656; worker=0; libro=9; palabras=33889; inicio=2025-10-29 13:42:05.964; fin=2025-10-29 13:42:06.247
thread=139655357920960; worker=3; libro=12; palabras=80943; inicio=2025-10-29 13:42:05.964; fin=2025-10-29 13:42:06.569
thread=139655445997248; worker=2; libro=11; palabras=166806; inicio=2025-10-29 13:42:05.964; fin=2025-10-29 13:42:06.799
thread=139655454389952; worker=1; libro=10; palabras=413440; inicio=2025-10-29 13:42:05.964; fin=2025-10-29 13:42:06.987
thread=139655357920960; worker=0; libro=13; palabras=37765; inicio=2025-10-29 13:42:06.987; fin=2025-10-29 13:42:07.373
thread=139655462782656; worker=3; libro=16; palabras=49690; inicio=2025-10-29 13:42:06.988; fin=2025-10-29 13:42:07.387
thread=139655445997248; worker=1; libro=14; palabras=78560; inicio=2025-10-29 13:42:06.988; fin=2025-10-29 13:42:07.469
thread=139655454389952; worker=2; libro=15; palabras=99958; inicio=2025-10-29 13:42:06.988; fin=2025-10-29 13:42:07.493
thread=139655454389952; worker=1; libro=18; palabras=144239; inicio=2025-10-29 13:42:07.494; fin=2025-10-29 13:42:08.694
thread=139655357920960; worker=3; libro=20; palabras=185498; inicio=2025-10-29 13:42:07.494; fin=2025-10-29 13:42:08.811
thread=139655445997248; worker=2; libro=19; palabras=211713; inicio=2025-10-29 13:42:07.494; fin=2025-10-29 13:42:08.920
