thread=139778559297216; worker=1; libro=2; palabras=47314; inicio=2025-10-29 14:21:26.237; fin=2025-10-29 14:21:26.539
thread=139778542511808; worker=3; libro=4; palabras=71581; inicio=2025-10-29 14:21:26.237; fin=2025-10-29 14:21:26.605
thread=139778567689920; worker=0; libro=1; palabras=71710; inicio=2025-10-29 14:21:26.237; fin=2025-10-29 14:21:26.694
thread=139778550904512; worker=2; libro=3; palabras=141645; inicio=2025-10-29 14:21:26.237; fin=2025-10-29 14:21:26.744
thread=139778559297216; worker=2; libro=7; palabras=31487; inicio=2025-10-29 14:21:26.745; fin=2025-10-29 14:21:26.998
thread=139778542511808; worker=0; libro=5; palabras=81316; inicio=2025-10-29 14:21:26.745; fin=2025-10-29 14:21:27.229
thread=139778550904512; worker=1; libro=6; palabras=115042; inicio=2025-10-29 14:21:26.745; fin=2025-10-29 14:21:27.360
thread=139778567689920; worker=3; libro=8; palabras=212180; inicio=2025-10-29 14:21:26.745; fin=2025-10-29 14:21:27.442
thread=139778567689920; worker=0; libro=9; palabras=33889; inicio=2025-10-29 14:21:27.442; fin=2025-10-29 14:21:27.723
thread=139778542511808; worker=3; libro=12; palabras=80943; inicio=2025-10-29 14:21:27.442; fin=2025-10-29 14:21:28.026
thread=139778550904512; worker=2; libro=11; palabras=166806; inicio=2025-10-29 14:21:27.442; fin=2025-10-29 14:21:28.217
thread=139778559297216; worker=1; libro=10; palabras=413440; inicio=2025-10-29 14:21:27.442; fin=2025-10-29 14:21:28.415
thread=139778542511808; worker=0; libro=13; palabras=37765; inicio=2025-10-29 14:21:28.415; fin=2025-10-29 14:21:28.747
thread=139778567689920; worker=3; libro=16; palabras=49690; inicio=2025-10-29 14:21:28.415; fin=2025-10-29 14:21:28.820
thread=139778550904512; worker=1; libro=14; palabras=78560; inicio=2025-10-29 14:21:28.415; fin=2025-10-29 14:21:28.877
thread=139778559297216; worker=2; libro=15; palabras=99958; inicio=2025-10-29 14:21:28.415; fin=2025-10-29 14:21:28.893
thread=139778559297216; worker=1; libro=18; palabras=144239; inicio=2025-10-29 14:21:28.894; fin=2025-10-29 14:21:30.046
thread=139778542511808; worker=3; libro=20; palabras=185498; inicio=2025-10-29 14:21:28.894; fin=2025-10-29 14:21:30.187
thread=139778550904512; worker=2; libro=19; palabras=211713; inicio=2025-10-29 14:21:28.894; fin=2025-10-29 14:21:30.223
thread=139778567689920; worker=0; libro=17; palabras=126207; inicio=2025-10-29 14:21:28.894; fin=2025-10-29 14:21:30.237
thread=139778559297216; worker=2; libro=23; palabras=25603; inicio=2025-10-29 14:21:30.238; fin=2025-10-29 14:21:30.352
thread=139778542511808; worker=0; libro=21; palabras=194382; inicio=2025-10-29 14:21:30.238; fin=2025-10-29 14:21:31.444
thread=139778550904512; worker=1; libro=22; palabras=201999; inicio=2025-10-29 14:21:30.238; fin=2025-10-29 14:21:31.481
thread=139778567689920; worker=3; libro=24; palabras=327002; inicio=2025-10-29 14:21:30.238; fin=2025-10-29 14:21:31.570
thread=139778542511808; worker=3; libro=28; palabras=92854; inicio=2025-10-29 14:21:31.571; fin=2025-10-29 14:21:32.146
thread=139778550904512; worker=2; libro=27; palabras=131867; inicio=2025-10-29 14:21:31.571; fin=2025-10-29 14:21:32.608
thread=139778567689920; worker=0; libro=25; palabras=222581; inicio=2025-10-29 14:21:31.570; fin=2025-10-29 14:21:32.806
thread=139778559297216; worker=1; libro=26; palabras=185839; inicio=2025-10-29 14:21:31.571; fin=2025-10-29 14:21:32.820
thread=139778550904512; worker=1; libro=30; palabras=30011; inicio=2025-10-29 14:21:32.820; fin=2025-10-29 14:21:33.399
thread=139778567689920; worker=3; libro=32; palabras=86640; inicio=2025-10-29 14:21:32.820; fin=2025-10-29 14:21:33.507
thread=139778559297216; worker=2; libro=31; palabras=134493; inicio=2025-10-29 14:21:32.820; fin=2025-10-29 14:21:33.650
thread=139778542511808; worker=0; libro=29; palabras=304376; inicio=2025-10-29 14:21:32.820; fin=2025-10-29 14:21:33.810
thread=139778559297216; worker=1; libro=34; palabras=25776; inicio=2025-10-29 14:21:33.811; fin=2025-10-29 14:21:34.033
thread=139778542511808; worker=3; libro=36; palabras=117350; inicio=2025-10-29 14:21:33.811; fin=2025-10-29 14:21:34.366
thread=139778567689920; worker=0; libro=33; palabras=109138; inicio=2025-10-29 14:21:33.811; fin=2025-10-29 14:21:34.508
thread=139778550904512; worker=2; libro=35; palabras=992331; inicio=2025-10-29 14:21:33.811; fin=2025-10-29 14:21:35.492
thread=139778542511808; worker=0; libro=37; palabras=70204; inicio=2025-10-29 14:21:35.493; fin=2025-10-29 14:21:36.049
thread=139778550904512; worker=1; libro=38; palabras=103490; inicio=2025-10-29 14:21:35.493; fin=2025-10-29 14:21:36.291
thread=139778559297216; worker=2; libro=39; palabras=111843; inicio=2025-10-29 14:21:35.493; fin=2025-10-29 14:21:36.384
thread=139778567689920; worker=3; libro=40; palabras=395203; inicio=2025-10-29 14:21:35.493; fin=2025-10-29 14:21:36.673
thread=139778559297216; worker=1; libro=42; palabras=80980; inicio=2025-10-29 14:21:36.673; fin=2025-10-29 14:21:37.705
thread=139778567689920; worker=0; libro=41; palabras=173576; inicio=2025-10-29 14:21:36.673; fin=2025-10-29 14:21:37.719
thread=139778542511808; worker=3; libro=44; palabras=117284; inicio=2025-10-29 14:21:36.673; fin=2025-10-29 14:21:37.773
thread=139778550904512; worker=2; libro=43; palabras=203029; inicio=2025-10-29 14:21:36.673; fin=2025-10-29 14:21:37.827
thread=139778542511808; worker=0; libro=45; palabras=141049; inicio=2025-10-29 14:21:37.827; fin=2025-10-29 14:21:38.765
thread=139778559297216; worker=2; libro=47; palabras=92187; inicio=2025-10-29 14:21:37.827; fin=2025-10-29 14:21:38.774
thread=139778567689920; worker=3; libro=48; palabras=145111; inicio=2025-10-29 14:21:37.828; fin=2025-10-29 14:21:39.120
thread=139778550904512; worker=1; libro=46; palabras=286240; inicio=2025-10-29 14:21:37.827; fin=2025-10-29 14:21:39.205
thread=139778567689920; worker=0; libro=49; palabras=60293; inicio=2025-10-29 14:21:39.205; fin=2025-10-29 14:21:39.273
